Topic,Trend
Evenness & Quality Control,1.9397058823529412
Fiber Science,0.6617647058823529
Chemical Processing,0.6058823529411764
Polymer Science,0.47205882352941175
Man Made Fibres,0.3
Knitting,0.2661764705882353
Textile Testing,0.16323529411764706
Technical Textiles,0.023529411764705882
Engineering Mathematics,-0.01764705882352941
Nonwovens,-0.020588235294117647
Spinning,-0.08088235294117647
modern spinning,-0.12205882352941176
Statistics & Quality Control,-0.22647058823529412
Garment Manufacturing,-0.3161764705882353
General Aptitude,-0.40441176470588236
Weaving,-0.6411764705882353
